received_at,device_id,user,accel_stddev,gyro_stddev,bpm,local_act,activity,timestamp
2026-04-06T16:25:57.165405,ESP32_001,User_001,0.006552,0.0291,0,DUDUK,DUDUK,72781
2026-04-06T16:25:59.114239,ESP32_001,User_001,0.005946,0.0236,0,DUDUK,DUDUK,74790
2026-04-06T16:26:01.161113,ESP32_001,User_001,0.005978,0.0152,0,DUDUK,DUDUK,76804
2026-04-06T16:26:03.208918,ESP32_001,User_001,0.005402,0.0189,0,DUDUK,DUDUK,78818
2026-04-06T16:26:05.116394,ESP32_001,User_001,0.005159,0.0193,0,DUDUK,DUDUK,80834
2026-04-06T16:26:07.202745,ESP32_001,User_001,0.009098,0.0201,0,DUDUK,DUDUK,82850
2026-04-06T16:26:09.150671,ESP32_001,User_001,0.00811,0.0242,0,DUDUK,DUDUK,84866
2026-04-06T16:26:11.195937,ESP32_001,User_001,0.010737,15.8778,37,DUDUK,DUDUK,86873
2026-04-06T16:26:13.333015,ESP32_001,User_001,0.009077,6.3718,55,DUDUK,DUDUK,88879
2026-04-06T16:26:15.192891,ESP32_001,User_001,0.007379,1.7248,70,DUDUK,DUDUK,90900
2026-04-06T16:26:17.239025,ESP32_001,User_001,0.006082,1.1687,75,DUDUK,DUDUK,92908
2026-04-06T16:26:19.286698,ESP32_001,User_001,0.006325,0.3506,162,DUDUK,DUDUK,94924
2026-04-06T16:26:21.334771,ESP32_001,User_001,0.008433,0.7924,184,DUDUK,DUDUK,96936
2026-04-06T16:26:23.280741,ESP32_001,User_001,0.008148,0.4867,191,DUDUK,DUDUK,98947
2026-04-06T16:26:25.328305,ESP32_001,User_001,0.012761,0.8168,189,DUDUK,DUDUK,100958
2026-04-06T16:26:27.274389,ESP32_001,User_001,0.00942,0.9622,190,DUDUK,DUDUK,102969
2026-04-06T16:26:29.319319,ESP32_001,User_001,0.009423,1.092,179,DUDUK,DUDUK,104980
2026-04-06T16:26:31.341400,ESP32_001,User_001,0.003739,2.208,177,DUDUK,DUDUK,106996
2026-04-06T16:26:33.315802,ESP32_001,User_001,0.006953,1.1307,191,DUDUK,DUDUK,109012
2026-04-06T16:26:35.363271,ESP32_001,User_001,0.008514,0.4022,190,DUDUK,DUDUK,111022
2026-04-06T16:26:37.417346,ESP32_001,User_001,0.007608,0.4158,185,DUDUK,DUDUK,113033
2026-04-06T16:26:39.357496,ESP32_001,User_001,0.006162,0.7558,173,DUDUK,DUDUK,115044
2026-04-06T16:26:41.405338,ESP32_001,User_001,0.005879,1.8143,170,DUDUK,DUDUK,117049
2026-04-06T16:26:43.355749,ESP32_001,User_001,0.005565,0.6107,170,DUDUK,DUDUK,119065
2026-04-06T16:26:45.397302,ESP32_001,User_001,0.006668,1.1465,176,DUDUK,DUDUK,121079
2026-04-06T16:26:47.446649,ESP32_001,User_001,0.00834,0.7852,161,DUDUK,DUDUK,123095
